"Контрагент","Итого","max"
"ОАО ""ОМСКОБЛСЕЛЬХОЗТЕХНИКА""",2654581.52,A
ОктябрьскийКом АО (БЕЛАРУСЬ),2637408.02,A
РО-МАШ ООО,2632479.79,A
ВеткаИндустрия ООО (БЕЛОРУСЬ),2627645.26,A
ЯкутскЭнерго ТОО,2604709.21,A
ЛАМБДАТРЕЙД ООО,2599498.92,A
ЩукаПром ООО,2592624.15,A
"ЗАО ""АВИАТЕХНОЛОГИЯ""",2541516.56,A
БорисовЛогистика АО (БЕЛАРУСЬ),2518979.38,A
НЮ-ИНВЕСТ ООО,2516941.60,A
БерезаМед АО (УКРАИНА),2492903.20,A
КОСМОС-ПРОД ООО,2477674.40,A
ТЕТА-СТРОЙ ООО,2446999.09,A
ДЕЛЬТАЛОГИСТИК ООО,2416627.46,A
"ТАУ-ТОРГ ООО, Тольятти",2398127.88,A
ТПАС-Петрозаводск ООО,2395933.26,A
"ГАММА-ЭНЕРГО ООО, Екатеринбург",2367586.20,A
"АО ""АВТОВАЗ""",2365046.31,A
ЭПСИЛОН-КОМ ООО,2353699.62,A
ДЕЛЬТА-ТОРГ ООО,2292422.58,A
ПСИ-ИНЖ ООО,2264948.48,A
"ООО ""КНАУФ ГИПС ДЗЕРЖИНСК""",2246333.48,A
ТАУ-ПЛЮС ООО,2240826.37,A
ОМЕГА-СТРОЙ ООО,2239039.24,A
ТАУ-ТОРГ ООО,2229036.32,A
ТайгаЛогистика АО,2218720.01,A
КАППА-ПЛЮС ООО,2183464.86,A
ФИСТРОЙ ООО,2146324.07,A
ОМИКРОНСИСТЕМС ООО,2116942.20,A
ИПСИЛОН-ИНЖ ООО,2110376.88,A
НЮ-ЭНЕРГО ООО,2092271.62,A
АрктикаТех ТОО (КИРГИЗИЯ),2077664.08,A
ООО АВИКС ГРУПП,2063041.38,A
ТЕТА-ПЛЮС ООО,2058212.25,A
ИвановоЭкспорт АО (БЕЛАРУСЬ),2049039.78,A
МЮФИНАНС ООО,2047193.46,A
КАППАКОМП ООО,2021675.08,A
НЮПРОМ ООО,2016188.62,A
"ЭПСИЛОН-СТРОЙ ООО, Нижний Новгород",2015284.00,A
НЮ-ТОРГ ООО,2004294.19,A
КСИ-ТОРГ ООО,1992460.65,A
ДраконЭкспорт ТОО (КИРГИЗИЯ),1975836.34,A
МЮТОРГ ООО,1965107.31,A
КалинковичиСервис ООО (БЕЛАРУСЬ),1931621.06,A
НаровляИнновации ООО (БЕЛАРУСЬ),1926865.52,A
ОМЕГАПРОМ ООО,1925762.76,A
ЦимлянскКонсалт ООО,1916446.56,A
ЗЕТАКОНСТРУКТ ООО,1879940.27,A
КСИТЕХ ООО,1841406.58,A
"ЙОТА-КОМ ООО, Самара",1830101.57,A
ГанцевичиЛогистика ООО (БЕЛАРУСЬ),1789787.73,A
РО-КОМ ООО,1783070.32,A
МЮ-ПРОД ООО,1780569.92,A
КостюковичиТех АО (РОССИЯ),1760096.60,A
КСИМАШ ООО,1758296.05,A
ГАММА-ЭНЕРГО ООО,1753632.20,A
СИГМА-КОМ ООО,1744397.37,A
ЭТА-СТРОЙ ООО,1739637.74,A
"АО ""АВИАКОМПАНИЯ ""ВОСТОК""",1739357.34,A
ХИ-КОМ ООО,1729674.97,A
КалугаМед ООО,1726741.95,A
ТюменьСервис АО,1680670.74,A
"ООО ""МЕГАТОН""",1678556.64,A
ГАММА-КОМ ООО,1670511.03,A
ПИ-ИНВЕСТ ООО,1644678.57,A
СлавгородИнвест ООО (БЕЛАРУСЬ),1620408.70,A
ЭТА-ТОРГ ООО,1617194.84,A
"ПАО ""ИЛ""",1612471.16,A
СенненскийИнвест АО (БЕЛАРУСЬ),1593738.94,A
"ООО ""Объединенная технологическая корпорация""",1578850.11,A
СолигорскПроект АО (УКРАИНА),1569090.23,A
ЗЕТА-ИНВЕСТ ООО,1556874.12,A
ЧайкаКом ОАО,1550028.67,A
КСИ-МАШ ООО,1545602.38,A
ГанцевичиТрейд ООО (АЗЕРБАЙДЖАН),1535781.36,A
БЕТА-ЭНЕРГО ООО,1531975.74,A
"ООО Производственно-торговая фирма ""Авиатор""",1531041.06,A
ИПСИЛОН-ПЛЮС ООО,1528435.46,A
ПСИ-КОМ ООО,1527364.00,A
ЛАМБДАЭНЕРГО ООО,1524763.22,A
ТитанТрейд АО,1519984.22,A
"Точка света (ООО ""Альфа"")",1511804.22,A
ГАММАТРЕЙД ООО,1506923.17,A
ИПСИЛОН-ЭЛЕКТРО ООО,1488421.03,A
"АО ""АВИАКОР-АВИАЦИОННЫЙ ЗАВОД""",1481093.76,A
ДЕЛЬТАТОРГ ООО,1469008.07,A
ЙОТА-ПЛЮС ООО,1461407.82,A
КричевЭнерго ТОО (ТУРКМЕНИСТАН),1452262.73,A
СИГМАТЕХ ООО,1430233.74,A
ЙОТАИНВЕСТ ООО,1421932.45,A
"ОАО ""Авиакомпания ""БАЛ""",1392960.32,A
ХИ-ИНЖ ООО,1391198.38,A
КСИ-ИНВЕСТ ООО,1389628.11,A
ТОБОЛ-ПРОМ ООО,1379649.23,A
СемейМаш АО (РОССИЯ),1363158.14,A
АЛЬФА-20 ООО,1359612.10,A
АГРО-ПЛЮС ООО,1355479.59,A
ОМИКРОН-ИНВЕСТ ООО,1315689.93,A
НЮКОМП ООО,1312759.91,A
ФИ-ИНЖ ООО,1312409.71,A
ДЕЛЬТА-КОМ ООО,1301562.03,A
АЛЬФА-35 ООО,1288766.96,A
"ОМИКРОН-ПРОД ООО, Волгоград",1285903.78,A
ТауТранспорт АО,1283108.66,A
"ООО ""Атлантис""",1270177.29,A
НЮ-ПРОД ООО,1268402.02,A
ЧечняПроект ТОО (КИРГИЗИЯ),1257878.81,A
БЕТА-СТРОЙ ООО,1257812.74,A
РостовИнновации АО (ГРУЗИЯ),1254366.68,A
ЦВЕТ-ТОРГ ООО,1247679.70,A
ОМИКРОН-МАШ ООО,1238121.26,A
КобринТрейд ООО (БЕЛАРУСЬ),1210854.03,A
КАППАКОНСТРУКТ ООО,1206898.96,A
МЮ-ТОРГ ООО,1204545.68,A
ЙОТАТОРГ ООО,1200637.24,A
"ЭПСИЛОН-КОМ ООО, Нижний Новгород",1196018.82,A
ОМИКРОНСЕРВИС ООО,1191767.14,A
КСИ-ПРОД ООО,1187589.46,A
КАППА-КОМ ООО,1184435.95,A
ИвановоТранс ОАО,1178928.14,A
ГанцевичиКонсалт ТОО (КАЗАХСТАН),1171220.94,A
"РО-ЭЛЕКТРО ООО, Саратов",1169586.88,A
ЗЕТА-ТОРГ ООО,1168418.38,A
ДонФинанс ТОО (ТУРКМЕНИСТАН),1162663.75,A
ПИ-МАШ ООО,1156866.76,A
ЙОТАСИСТЕМС ООО,1151005.74,A
ЛАМБДАМАШ ООО,1148479.00,A
СИГМА-МАШ ООО,1134361.68,A
РО-ЭЛЕКТРО ООО,1124056.95,A
ТЕТА-ТОРГ ООО,1119865.68,A
ИПСИЛОН-ТОРГ ООО,1115288.90,A
ЭПСИЛОН-ИНВЕСТ ООО,1113309.17,A
ЧаусыСтрой АО (БЕЛАРУСЬ),1106688.21,A
ПолоцкИнновации ООО (БЕЛАРУСЬ),1100367.51,A
КАППАТЕХ ООО,1090534.71,A
ИННОВАЦИЯ СП ООО,1090534.31,A
ЯкорьИнновации ООО (ТАДЖИКИСТАН),1087824.40,A
ПолоцкЭнерго АО (РОССИЯ),1075070.11,A
"ООО ""АМТ Н.В.""",1072284.77,A
"ОАО ""АВТОКРАН""",1062571.03,A
"ПИ-МАШ ООО, Краснодар",1057545.19,A
МЮ-ЭНЕРГО ООО,1048677.11,A
"ОАО ""ПОЛИФАРМ""",1047724.89,A
БЕТА-КОМ ООО,1043747.71,A
ЛАМБДА-ТОРГ ООО,1028586.85,A
А-Реал Консалтинг,1027958.41,A
"Союз ""Торгово-промышленная палата Орловской области""",1025753.03,A
"ОАО КПП ""АВИАМОТОР""",1017833.43,A
ТАУ-СТРОЙ ООО,997304.57,B
ОМЕГА-МАШ ООО,996187.33,B
ООО УГЛИЧ-ПЛАСТ,991178.50,B
ОМИКРОН-ПЛЮС ООО,990591.44,B
ДнепрКом АО (РОССИЯ),976332.40,B
ФИСТРАНС ООО,974275.18,B
ПИ-СТРОЙ ООО,969884.16,B
ХойникиТрейд ООО (АЗЕРБАЙДЖАН),969500.58,B
ОПТИМА-КОМ ООО,959162.60,B
МЮ-МАШ ООО,957212.55,B
ТЕТА-КОМ ООО,953615.10,B
ОМЕГА-ПРОМ ООО,948023.25,B
БЕРЕГ-КОМ ООО,945452.64,B
АЛЬФА-9 ООО,936346.01,B
"ООО ""МАСТ Сервис""",933231.38,B
МагаданТранс ОАО,931132.77,B
АЛЬФАСИСТЕМС ООО,926557.71,B
СеверСервис ООО,925137.22,B
"АЛЬФА-49 ООО, Москва",922504.54,B
ДубровноТранс ООО (АЗЕРБАЙДЖАН),913708.69,B
ХаосЭнерго АО,911232.10,B
ОМИКРОНФИНАНС ООО,902497.42,B
МогилевФарма АО (УКРАИНА),897974.99,B
ДрогичинКом ТОО (БЕЛАРУСЬ),895173.51,B
ТЭТАПРОМ ООО,890718.05,B
ЕЛЕКТРО-ИНЖ ООО,885700.99,B
ПСИ-ПРОМ ООО,875309.90,B
ЛАМБДА-СТРОЙ ООО,868852.29,B
ЧаусыКом ТОО (БЕЛАРУСЬ),865474.24,B
БЕТА-МАШ ООО,859059.59,B
АЛЬФА-3 ООО,851686.65,B
НЮПРОД ООО,848693.40,B
КраснопольеЭнерго ТОО (БЕЛАРУСЬ),845959.85,B
КАППА-СТРОЙ ООО,843541.25,B
ОРБИТА-КОМ ООО,841321.23,B
ХИКОНСТРУКТ ООО,840506.22,B
ЯрославльЭкспорт АО (УКРАИНА),837681.47,B
НЮ-КОМ ООО,832302.49,B
ДОМ-КОМФОРТ ООО,831557.96,B
РОТРЕЙД ООО,830348.16,B
ИвановоСтрой АО (БЕЛАРУСЬ),825612.66,B
ВитебскФинанс ООО (БЕЛАРУСЬ),817876.39,B
"КАППА-КОМ ООО, Ростов-на-Дону",813802.08,B
АктауСервис ТОО (АРМЕНИЯ),804797.71,B
ЗЕТА-СТРОЙ ООО,801842.67,B
ЭкибастузТех ООО (ТАДЖИКИСТАН),801571.98,B
ЗАЩИТА-ТОРГ ООО,796211.06,B
ТаразТранс ООО (АЗЕРБАЙДЖАН),794966.79,B
АЛЬФА-27 ООО,788694.22,B
АЛЬФА-26 ООО,772092.10,B
КостромаСервис АО,771843.34,B
ИМПУЛЬС-ЭНЕРГО ООО,771258.31,B
ТАУЭНЕРГО ООО,751291.82,B
НовосибирскИнновации ООО,749937.77,B
ГлускИндустрия ООО (БЕЛОРУСЬ),741642.45,B
"ХИ-ТОРГ ООО, Иркутск",739464.86,B
БарнаулТрейд АО (ГРУЗИЯ),738204.20,B
ХотимскСервис АО (МОЛДОВА),720146.72,B
ХИ-ПРОМ ООО,720073.28,B
"ГП Ф-КА ФОРМЕННОГО ОБМУНДИРОВАНИЯ ""АВИАЛЕСООХРАНА""",718541.14,B
РОСТЕХ ООО,717001.38,B
СветлогорскКом АО (РОССИЯ),709032.55,B
ЧериковСервис АО (БЕЛАРУСЬ),692249.19,B
ЭТА-ПЛЮС ООО,689366.61,B
АЛЬФА-32 ООО,688703.19,B
РостовСервис ТОО,686518.18,B
БобруйскПроект ТОО (БЕЛАРУСЬ),682881.31,B
БЕТА-ТЕХ ООО,681339.75,B
КопыльЭнерго АО (РОССИЯ),677012.88,B
ЙОТА-СТРОЙ ООО,674384.11,B
МикашевичиСтрой ТОО (БЕЛАРУСЬ),673746.33,B
ЯкорьЛогистика ООО,672923.69,B
ФИ-ПЛЮС ООО,670330.37,B
ЭТА-ЭЛЕКТРО ООО,670128.67,B
АЛЬФАКОМ ООО,669327.51,B
"ЙОТА-ЭЛЕКТРО ООО, Самара",662378.93,B
ХаосКонсалт АО (УКРАИНА),660590.71,B
КОМПЛЕКС-МАШ ООО,659746.44,B
ПИКОНСТРУКТ ООО,656384.54,B
КомаринЭкспорт АО (УКРАИНА),653131.00,B
ГАММА-МАШ ООО,651479.99,B
НЮ-ПЛЮС ООО,648830.80,B
ПСИТРЕЙД ООО,648751.48,B
КызылордаКом ТОО (ТУРКМЕНИСТАН),648252.01,B
ПИ-ПЛЮС ООО,643299.02,B
ХИ-СТРОЙ ООО,640639.20,B
ХотимскЛогистика ТОО (АРМЕНИЯ),640564.17,B
СмоленскЭкспорт ООО (УЗБЕКИСТАН),640460.47,B
МИР-ЭЛЕКТРО ООО,640319.98,B
ЖодиноСтрой ТОО (БЕЛАРУСЬ),640231.95,B
КСИ-СТРОЙ ООО,635215.38,B
ТуровМед ТОО (БЕЛАРУСЬ),634430.04,B
ОрбитаЛогистика ТОО (АРМЕНИЯ),632995.41,B
ЭТАСЕРВИС ООО,626253.45,B
ХИСЕРВИС ООО,625563.14,B
"ТАУ-ПЛЮС ООО, Тольятти",622982.91,B
"ФИ-ТОРГ ООО, Барнаул",617029.19,B
БобруйскФарма ТОО (КИРГИЗИЯ),611019.76,B
БЕТАКОНСТРУКТ ООО,609675.58,B
"ПИ-КОМ ООО, Краснодар",604291.57,B
ЭТА-ПРОД ООО,598851.72,B
ЭФФЕКТ-ПЛЮС ООО,594508.16,B
ЭТАТЕХ ООО,589436.06,B
МогилевФарма ООО (БЕЛАРУСЬ),589258.73,B
МстиславльТранс ООО (АЗЕРБАЙДЖАН),571659.06,B
НаровляТех АО (РОССИЯ),560264.61,B
ЭПСИЛОНТРАНС ООО,557157.45,B
БобруйскСервис ООО (БЕЛОРУСЬ),553544.06,B
ПРИРОДА-КОМ ООО,546531.09,B
"ООО ""НПО «Ликом»""",542245.53,B
ЧечерскСервис ООО (БЕЛАРУСЬ),541600.44,B
МЮЛОГИСТИК ООО,536123.86,B
ТАУ-ЭЛЕКТРО ООО,533278.75,B
"ООО ""Техпром""",532905.63,B
АЛЬФА-37 ООО,527289.30,B
"АО ""АВИАКОМПАНИЯ ""СИБИРЬ""",525816.30,B
МогилевЭкспорт ООО (УЗБЕКИСТАН),521998.04,B
ЙОТА-ЭЛЕКТРО ООО,520688.38,B
"ОАО ""Аппаратура дальней связи""",519884.12,B
ЧувашияТех ООО,519267.11,B
КировскСтрой АО (БЕЛАРУСЬ),511134.33,B
"ОАО ""НАК ""АКИ-ОТЫР""",509136.98,B
ОсиповичиСервис ТОО (БЕЛАРУСЬ),498906.52,C
ЛенаМед АО,497047.38,C
КалмыкияИндустрия АО (МОЛДОВА),496925.40,C
ЗетаЭнерго АО (МОЛДОВА),496923.68,C
"ДЕЛЬТА-МАШ ООО, Новосибирск",480281.46,C
ДОРОГА-СТРОЙ ООО,478009.16,C
"ООО ""АМА ПРОДАКШН""",477685.85,C
"ПИ-ИНВЕСТ ООО, Краснодар",476241.28,C
"ООО ""Газпром добыча Астрахань""",462193.15,C
МиорыТрейд ООО (АЗЕРБАЙДЖАН),460372.68,C
ЧериковЭнерго ООО (ТАДЖИКИСТАН),456347.86,C
КСИ-КОМ ООО,450430.27,C
БЕТАСТРОЙ ООО,446815.86,C
АЛЬФА-23 ООО,442602.23,C
МозырьМед АО (БЕЛАРУСЬ),440591.64,C
СаратовТех АО,438568.82,C
КалинковичиФарма АО (БЕЛАРУСЬ),436783.88,C
КСИСТРОЙ ООО,434504.98,C
ПСИ-ТОРГ ООО,433598.33,C
"ТАУ-СТРОЙ ООО, Тольятти",433296.28,C
ЭлистаИнвест АО,432100.87,C
МогилевМед ТОО (БЕЛАРУСЬ),425305.27,C
ГАЛАКТИКА СП ООО,422545.81,C
ФениксТранс ТОО (ТУРКМЕНИСТАН),421114.69,C
СВЕТ-ТЕХ ООО,419057.91,C
УФА-СТРОЙ ООО,416522.13,C
"ЙОТА-ПЛЮС ООО, Самара",414505.64,C
БурятияФинанс ТОО (АРМЕНИЯ),410008.56,C
"МЮ-СТРОЙ ООО, Красноярск",405993.18,C
КалинковичиИнвест АО (БЕЛАРУСЬ),399209.34,C
НовополоцкПроект ООО (УЗБЕКИСТАН),390041.97,C
ГАММАКОМ ООО,389004.02,C
УСПЕХ-КОМ ООО,388244.84,C
АЛЬФА-24 ООО,387785.92,C
КамчаткаКом ООО,385117.67,C
ХотимскИнновации АО (ГРУЗИЯ),382077.77,C
КировскМаш АО (РОССИЯ),379460.67,C
РечицаИндустрия ТОО (АРМЕНИЯ),379372.93,C
РО-ЭНЕРГО ООО,377236.43,C
ХиХимия ООО,376901.39,C
ЛиозноКонсалт ООО (АЗЕРБАЙДЖАН),376288.46,C
ЧечерскИнновации ООО (АЗЕРБАЙДЖАН),373068.39,C
ЛунинецИнвест ООО (БЕЛАРУСЬ),370211.25,C
КостюковичиИнвест ООО (БЕЛАРУСЬ),369250.78,C
"ПСИ-КОМ ООО, Ярославль",368822.48,C
ОктябрьскийПроект ООО (УЗБЕКИСТАН),363420.47,C
ЛунинецЛогистика АО (МОЛДОВА),361180.80,C
ЭКО-СТРОЙ ООО,361018.69,C
ОМЕГАЛОГИСТИК ООО,359856.61,C
ЛиозноТранс АО (ГРУЗИЯ),359848.15,C
Еврогидросервис ТОО (КАЗАХСТАН),356745.19,C
АндромедаПроект ООО (УЗБЕКИСТАН),352570.07,C
"ОАО "" Авиакомпания"" Омскавиа""",351923.12,C
ИНТЕРНЕТ-КОМ ООО,348244.90,C
"ТЕТА-СТРОЙ ООО, Омск",347922.84,C
"ПСИ-ИНЖ ООО, Ярославль",347006.44,C
ПсиПром АО,342493.10,C
ЗАВОД-МАШ ООО,341211.12,C
КаппаКом ООО,338797.18,C
ОршаТрейд ТОО (КАЗАХСТАН),332774.99,C
"ГАММА-МАШ ООО, Екатеринбург",328667.18,C
МЕГАПОЛИС СПБ ООО,325217.70,C
ОМЕГА-ИНВЕСТ ООО,324149.59,C
УфаМед ООО,323183.75,C
ФИ-МАШ ООО,321819.95,C
ООО «Группа Компаний «ЛИПЕЦКПРОФИЛЬ»,319418.99,C
УдмуртияИндустрия ООО,318377.63,C
МогилевТрейд ООО (БЕЛАРУСЬ),316820.46,C
КраснопольеТрейд ТОО (КАЗАХСТАН),315954.45,C
МарсЭнерго АО (РОССИЯ),311262.60,C
ИПСИЛОН-МАШ ООО,310651.58,C
ЭПСИЛОНТРЕЙД ООО,310293.18,C
РадугаПроект ООО (ТАДЖИКИСТАН),308110.42,C
БобруйскКом АО (БЕЛАРУСЬ),307847.01,C
ЭТА-ИНВЕСТ ООО,302244.87,C
АльфаСтрой ООО,301653.73,C
ШантарСтрой АО,301506.06,C
КСИ-ЭЛЕКТРО ООО,299869.36,C
АЛЬФА-10 ООО,298062.95,C
СахалинЭкспорт АО (УКРАИНА),292214.91,C
ЛуганскСервис АО (МОЛДОВА),288667.74,C
ЧаусыФинанс АО (МОЛДОВА),288261.98,C
КАВКАЗ-СТРОЙ ООО,285855.36,C
ЖодиноТех ТОО (ТУРКМЕНИСТАН),281914.57,C
ОсиповичиПроект ТОО (КИРГИЗИЯ),281134.21,C
ЭПСИЛОН-ПРОД ООО,278547.24,C
ТЕТА-ИНВЕСТ ООО,273637.04,C
КостюковичиСервис ООО (БЕЛАРУСЬ),273499.81,C
Андромеда ООО,271717.27,C
ЕльскПроект ТОО (КИРГИЗИЯ),269082.35,C
МогилевЭнерго ООО (ТАДЖИКИСТАН),266372.09,C
ОКЕАН-КОМ ООО,266310.32,C
"АЛЬФА-48 ООО, Москва",266045.06,C
УНИВЕСТ ООО,262778.47,C
"ОАО АК ""УРАЛЬСКИЕ АВИАЛИНИИ""",261255.50,C
ПИ-ИНЖ ООО,260551.37,C
ГлубокоеТрейд АО (БЕЛАРУСЬ),260168.23,C
КраснопольеМед АО (УКРАИНА),259246.22,C
ЦЕНТР-КОМ ООО,256524.47,C
СеверЭнерго АО (ГРУЗИЯ),255760.09,C
ХотимскИнвест АО (БЕЛАРУСЬ),255148.80,C
КАППА-ИНВЕСТ ООО,252979.20,C
ЭТА-ЭНЕРГО ООО,247746.05,C
СлавгородКонсалт ООО (АЗЕРБАЙДЖАН),245583.35,C
ООО «ВЭЛДЭС»,242969.79,C
ХИМИЯ-ЭНЕРГО ООО,242373.41,C
ГАРАНТ-СТРОЙ ООО,240429.42,C
Астерон,239592.39,C
"АО ""АПАТИТ""",239070.00,C
ТЭТАСЕРВИС ООО,233224.80,C
КировскКом АО (БЕЛАРУСЬ),231946.04,C
КостюковичиТрейд АО (ГРУЗИЯ),231521.11,C
ШкловМед АО (УКРАИНА),230174.41,C
БЕТАКОМ ООО,228656.91,C
ИПСИЛОН-ЭНЕРГО ООО,227794.44,C
"АО ""АЗОВМЕЖРАЙГАЗ""",226717.14,C
УшачиИндустрия ООО (БЕЛАРУСЬ),226064.77,C
ЖитковичиСервис ООО (БЕЛОРУСЬ),223146.62,C
ТамбовИндустрия ООО,221934.34,C
"ОАО ""Авиакомпания ""Самара""",220875.37,C
ГлускТех ООО (БЕЛАРУСЬ),220150.28,C
Архангельскнефтепродукт,216243.06,C
"ХИ-ПРОМ ООО, Иркутск",215630.66,C
