"Контрагент","Итого","max"
МЕДИУМ ООО,3573750.00,A
ЗаряТрейд ТОО (ТУРКМЕНИСТАН),3412000.00,A
НАВИГАТОР ООО,3351320.00,A
КОНЦЕРТ ООО,3350000.00,A
АФРОДИТА ООО,3211000.00,A
КИНЕФ ООО,3075000.00,A
СИГМАТЕХ ООО,3050536.98,A
БЛАГОВЕСТ ООО,2681760.00,A
ОМИКРОНФИНАНС ООО,2506520.00,A
ЛАЗУРИТ ООО,2486000.00,A
ЛяховичиКом АО (РОССИЯ),2380794.00,A
ГЕПАРД ООО,2348976.00,A
СлуцкМед ООО (УЗБЕКИСТАН),2285136.00,A
ПружаныТрейд ООО (БЕЛАРУСЬ),2279960.00,A
"КСИ-ТОРГ ООО, Пермь",2218280.00,A
СтарыеДорогиЭкспорт ТОО (БЕЛАРУСЬ),2178080.00,A
ХИМАШ ООО,2170000.00,A
АНТАРЕС ООО,2128000.00,A
ТК МЕРКУРИЙ ООО,2088000.00,A
СтарыеДорогиЛогистика АО (МОЛДОВА),2086100.00,A
ЕнисейСтрой ООО,2080280.00,A
ПИЛОТ ООО,2036160.00,A
ОМИКРОН-ПРОД ООО,1874080.00,A
"АО ""АВИАКОР-АВИАЦИОННЫЙ ЗАВОД""",1855000.00,A
ПИКОНСТРУКТ ООО,1852670.00,A
ВЕГА ООО,1758520.00,A
РЕГИОН-ЭЛЕКТРО ООО,1756370.00,A
ДОМОСТРОЙ ООО,1733080.00,A
ОмскКонсалт АО,1697000.00,A
МИРАЖ ООО,1650000.00,A
ЛЕГИОН ООО,1638000.00,A
БАЛТИКА ООО,1592000.00,A
СИГМА-ЭЛЕКТРО ООО,1587000.00,A
КсиКонсалт ТОО (АРМЕНИЯ),1536270.00,A
ПСИТРАНС ООО,1512600.00,A
ЗОЛОТОЙ ВЕК ООО,1497162.00,A
АстраханьИндустрия ООО (БЕЛОРУСЬ),1490000.00,A
ЗЕНИТ-ПЛЮС ООО,1479700.00,A
ОФИС-ЦЕНТР ООО,1471680.00,A
ПРОМЕТЕЙ ООО,1430000.00,A
АРИЭЛЬ ООО,1402000.00,A
ПОЛИС ООО,1399960.00,A
НИКС ООО,1394080.00,A
ДАЙМОНД ООО,1390720.00,A
ЖИЛСЕРВИС ООО,1353200.00,A
КРИСТАЛЛ ООО,1310550.00,A
СолигорскПроект АО (УКРАИНА),1310000.00,A
ГАММА-ТОРГ ООО,1280000.00,A
ДЕПО ООО,1275400.00,A
БИОНИК ООО,1244700.00,A
МАГНАТ ООО,1231880.00,A
ХантыМансийскийЭнерго АО (РОССИЯ),1210514.00,A
МАСТЕР ООО,1204200.00,A
ДИНАМО ООО,1154400.00,A
ИСКРА ООО,1126250.00,A
Арчединский комбинат хлебопродуктов,1109050.00,A
ЗЕТА-ЭЛЕКТРО ООО,1070000.00,A
АЛЬФА-7 ООО,1062000.00,A
ДЕЛЬТАСЕРВИС ООО,1035000.00,A
ЯкутскЭнерго ТОО,992000.00,B
ВЕНЕТА ООО,980800.00,B
РОТРЕЙД ООО,974320.00,B
ГродноТех АО (БЕЛАРУСЬ),900000.00,B
АМПЕР ООО,892000.00,B
КАПИТАЛ ООО,888000.00,B
РАЙДО ООО,874510.00,B
ПРОКТЕР ООО,870000.00,B
ОПТИМУМ ООО,825000.00,B
ГЕРМЕС ООО,824904.00,B
АТЛАНТ ООО,819600.01,B
ПЕГАС ООО,810240.00,B
КОНТАКТ ООО,800000.00,B
ИНВЕСТ-ГРУПП ООО,798345.00,B
ПРАГМА ООО,785000.00,B
"ООО ""ГП ТРАНС 48""",783000.00,B
НовополоцкПроект ООО (УЗБЕКИСТАН),775900.00,B
БИРЮЗА ООО,760000.00,B
БЕТАТЕХ ООО,760000.00,B
РАДУГА ООО,750000.00,B
АПЕКС ООО,719000.00,B
ДЖЕМ ООО,717200.00,B
ПАЛИТРА ООО,697870.00,B
ОТАВА ООО,687360.00,B
ЛАБИРИНТ ООО,634500.00,B
АТОМ ООО,624000.00,B
ОМЕГАПРОМ ООО,624000.00,B
ДОЦЕНТ ООО,622280.00,B
СтавропольИндустрия ТОО (АРМЕНИЯ),620000.00,B
КАППАКОНСТРУКТ ООО,608040.00,B
НИКА ООО,589160.00,B
"ПАО ""НПО ""АЛМАЗ""",588510.00,B
ЛУЧ ООО,584150.00,B
ГоркиМед ООО (БЕЛАРУСЬ),580000.00,B
"КБ ""АРСЕНАЛ"" ООО",579000.00,B
ОСТРОВ ООО,548000.40,B
ПАРУСНИК ООО,545560.00,B
КУПЕЦ ООО,535100.00,B
ЛИРА ООО,498000.00,C
ЛАМБДА-СТРОЙ ООО,489080.00,C
ПОБЕДА ООО,475200.00,C
НЮПРОМ ООО,456480.00,C
ТайгаЛогистика АО,440100.00,C
ОМЕГА ПЛЮС ООО,440000.00,C
ПСИ-КОМ ООО,428000.00,C
ИПСИЛОНТОРГ ООО,422800.00,C
КурскФинанс ООО,419600.00,C
ЧечерскПроект ООО (УЗБЕКИСТАН),416642.40,C
ХойникиКонсалт АО (ГРУЗИЯ),407200.00,C
ОршаКонсалт АО (ГРУЗИЯ),404000.00,C
"ОМИКРОН-ПРОД ООО, Волгоград",397200.00,C
ТолочинФинанс ООО (БЕЛОРУСЬ),392832.00,C
ГРИНН ООО,392800.00,C
АЛЬФА-ИНВЕСТ ООО,391000.00,C
АКСИОМА ООО,386000.00,C
БРИЗ ООО,385400.00,C
ПСИТРЕЙД ООО,373940.00,C
ВерхнедвинскЭкспорт ТОО (БЕЛАРУСЬ),372000.00,C
АРГО ООО,352000.00,C
НЕФРИТ ООО,346450.00,C
ЯкорьИнновации ООО (ТАДЖИКИСТАН),344000.00,C
ПРИМА ООО,340000.00,C
АРНИКА ООО,337500.00,C
ГАММАКОМ ООО,331280.00,C
БУКЕТ ООО,329700.00,C
РОИНВЕСТ ООО,328400.00,C
ЖАСМИН ООО,313440.00,C
ВЕСТА ООО,312600.00,C
КАРАТ ООО,312000.00,C
УранИндустрия ООО,305000.00,C
ИНТЕРЬЕР ООО,302000.00,C
"БЕТА-КОМ ООО, Санкт-Петербург",301700.00,C
ТАНДЕМ ПЛЮС ООО,300000.00,C
МАГИСТР ООО,287150.00,C
АЛЕКС ООО,284000.00,C
ЙОТАИНВЕСТ ООО,276000.00,C
ЛЕДИ ООО,273220.00,C
КОНСТРУКТОР ООО,267840.00,C
ДЕЛЬТА-ИНВЕСТ ООО,267640.00,C
ВЕРСИЯ ООО,252960.00,C
ПАССАЖ ООО,252000.00,C
НаровляЛогистика ТОО (АРМЕНИЯ),250000.00,C
КОНЦЕРН ООО,244820.00,C
ЛАМБДАМАШ ООО,235800.00,C
МЕДИЦИНА ООО,234560.00,C
ЛАДА ООО,224880.00,C
ГАММАЭНЕРГО ООО,213200.00,C
ПИ-МАШ ООО,203400.00,C
МЕРИДИАН ООО,200000.00,C
КАМЕЯ ООО,187200.00,C
ДЕЛЬТАТОРГ ООО,184000.00,C
ИВОЛГА ООО,180480.00,C
ЕВРАЗИЯ ООО,180000.00,C
ЗАРЯ ООО,178768.00,C
ОктябрьскийИнновации ООО (БЕЛАРУСЬ),173500.00,C
ХИСЕРВИС ООО,173320.00,C
МАГНОЛИЯ ООО,170900.00,C
ГЕНОМ ООО,170400.00,C
ИНЖИНИРИНГ ООО,160000.00,C
НЮПРОД ООО,156400.00,C
ОМИКРОН-КОМ ООО,154000.00,C
МЕТРОПОЛЬ ООО,153600.00,C
ГРАД ООО,150000.00,C
КЕДР ООО,144960.00,C
АНГАРА ООО,138000.00,C
ГАРМОНИЯ ООО,135460.00,C
КОНСАЛТ ООО,135360.00,C
ОктябрьскийКом АО (БЕЛАРУСЬ),134000.00,C
УралЭкспорт ООО,129600.00,C
АККОРД ООО,125000.00,C
ВОЯЖ ООО,117200.00,C
АМЕТИСТ ООО,109000.00,C
ЗЕТА-ИНВЕСТ ООО,108480.00,C
ЕльскПроект ТОО (КИРГИЗИЯ),105000.00,C
МИРТ ООО,104320.00,C
КраснопольеМед ООО (БЕЛАРУСЬ),103700.00,C
НОВАТОР ООО,100800.00,C
БОРА ООО,100400.00,C
ГРАНИТ ООО,95180.00,C
НесвижФарма АО (УКРАИНА),90000.00,C
АстраханьЛогистика ТОО,87000.00,C
ИНТЕГРА ООО,86520.00,C
МАКСИМУМ ООО,84500.00,C
"ЙОТА-ЭЛЕКТРО ООО, Самара",82000.00,C
ФИ-ТОРГ ООО,81000.00,C
АЛЬЯНС ООО,80000.00,C
КАППАТЕХ ООО,79700.00,C
ГАММАТРЕЙД ООО,78280.00,C
УфаМед ООО,78000.00,C
"ООО ""Техпром""",76970.00,C
КСИМАШ ООО,75000.00,C
ДЕЛЬТАЛОГИСТИК ООО,74000.00,C
ВЕКТОР ООО,72000.00,C
ГАММА-МАШ ООО,69600.00,C
НОВОСИБ ООО,64120.00,C
КОРВЕТ ООО,63300.00,C
"ООО ""АВТО-ГРУПП""",63000.00,C
АЛМАЗ ООО,61500.00,C
ГОРИЗОНТ ООО,58420.00,C
ГАЛАНТ ООО,57900.00,C
КАППА-КОМ ООО,57000.00,C
ПЛАНЕТА ООО,55000.00,C
ЛОТОС ООО,49920.00,C
ПРОМЫШЛЕННИК ООО,48000.00,C
БЕРЕГ ООО,46000.00,C
НОВА ООО,46000.00,C
ПРЕСТИЖ ООО,42320.00,C
ЧаусыИнвест ООО (БЕЛАРУСЬ),40200.00,C
ЛАМБДАТРЕЙД ООО,38820.00,C
ГЕЛИОС ООО,37400.00,C
АРКТИКА ООО,35000.00,C
КАППАКОМП ООО,33300.00,C
ОМИКРОН-ИНЖ ООО,27800.00,C
КСИ-СТРОЙ ООО,26400.00,C
МОНОЛИТ ООО,24000.00,C
ИМПЕРИЯ ООО,16000.00,C
КОСМОС ООО,15000.00,C
ВАЛДАЙ ООО,12970.00,C
НЕВСКИЙ ООО,12500.00,C
ВегаИнвест ООО,11000.00,C
ВИНЧЕСТЕР ООО,10200.00,C
ВОЛГА-ОЙЛ ООО,9600.00,C
ГИДРОСЕРВИС ООО,8000.00,C
АКВАМАРИН ООО,8000.00,C
ЛИДЕР ООО,6000.00,C
ПРОФИ ООО,6000.00,C
ТАУЛОГИСТИК ООО,5020.00,C
ПОЛЕТ ООО,2000.00,C
