"Контрагент","Итого","max"
ЛидаФинанс ООО (БЕЛОРУСЬ),1308021.33,A
КлимовичиЭкспорт ООО (УЗБЕКИСТАН),1301479.20,A
КопыльЭнерго ООО (БЕЛАРУСЬ),1295208.17,A
ИвацевичиКом ООО (ТАДЖИКИСТАН),1275384.59,A
ЖемчугМаш ООО (АЗЕРБАЙДЖАН),1274293.97,A
ЯрославльПром ООО,1260455.37,A
РО-МАШ ООО,1257475.94,A
НижнийНовгородТех ТОО (ТУРКМЕНИСТАН),1249212.23,A
БорисовИнвест АО (БЕЛАРУСЬ),1235872.88,A
КобринИндустрия АО (БЕЛАРУСЬ),1172725.70,A
СтолбцыМаш ТОО (ТУРКМЕНИСТАН),1166233.02,A
КлимовичиСервис АО (БЕЛАРУСЬ),1147524.77,A
МстиславльФарма ТОО (КИРГИЗИЯ),1137109.21,A
РУБИН ООО,1132772.16,A
КричевЭкспорт АО (БЕЛАРУСЬ),1101475.92,A
ЩукаЭнерго ООО (УЗБЕКИСТАН),1088427.36,A
ЧечерскСтрой ТОО (БЕЛАРУСЬ),1076245.39,A
ВеткаИндустрия ООО (БЕЛАРУСЬ),1072812.05,A
ЛюбаньТрейд АО (БЕЛАРУСЬ),1072746.99,A
КлимовичЭнерго АО (РОССИЯ),1069863.00,A
ОмскСтроительство ООО (УЗБЕКИСТАН),1035387.08,A
ДраконЭкспорт ТОО (КИРГИЗИЯ),1031648.71,A
БерезаФарма ООО (БЕЛАРУСЬ),1004887.59,A
КостюковичиТех АО (РОССИЯ),1002210.00,A
"ОАО ""АЛТТРАК""",1000933.52,A
"ОАО ""ОМСКОБЛСЕЛЬХОЗТЕХНИКА""",998307.82,B
ЭЛИТА ООО,990874.00,B
ОсиповичиПроект АО (БЕЛАРУСЬ),989564.43,B
ВерхнедвинскФарма АО (БЕЛАРУСЬ),973166.40,B
ПружаныМед ООО (БЕЛАРУСЬ),950400.00,B
СолигорскМед ООО (БЕЛАРУСЬ),948772.21,B
ТолочинЛогистика АО (БЕЛАРУСЬ),945835.34,B
"ООО ""МЕГАПРОМ-УРАЛ""",939127.50,B
СенненскийТрейд АО (ГРУЗИЯ),938771.92,B
ЕкатеринбургТранс ОАО,930701.40,B
ЛАМБДА-ИНВЕСТ ООО,923597.45,B
ПинскСервис АО (БЕЛАРУСЬ),903895.43,B
КалугаЛогистика ТОО (АРМЕНИЯ),887966.74,B
КаппаКом ООО,877636.57,B
КричевМед ООО (БЕЛАРУСЬ),877230.00,B
СЕЛЕНА ООО,869991.80,B
ООО АВИКС ГРУПП,858749.48,B
ЗаряТрейд ТОО (ТУРКМЕНИСТАН),837129.65,B
"ОАО ""Холсим (Рус)""",835053.41,B
КировскФарма ООО (БЕЛАРУСЬ),826328.60,B
ОршаМед ООО (БЕЛАРУСЬ),806607.86,B
"ООО ""МАРИОН""",799313.83,B
ЛиозноИнвест ООО (БЕЛАРУСЬ),784660.56,B
БрагинТрейд АО (БЕЛАРУСЬ),783317.56,B
РоссоныЭнерго ООО (БЕЛАРУСЬ),778989.62,B
МинскТранс ТОО (КАЗАХСТАН),775962.35,B
ЧашникиЛогистика АО (БЕЛАРУСЬ),770904.31,B
ГанцевичиСтрой АО (БЕЛАРУСЬ),759321.39,B
ТуркестанФарма ООО (УЗБЕКИСТАН),749393.95,B
КемеровоМед ООО,741282.77,B
"ОАО ""АК ""АСТРАХАНСКИЕ АВИАЛИНИИ""",734715.06,B
"ОАО ""АРХМОРТОРГПОРТ""",728828.70,B
ЧериковЛогистика ООО (БЕЛАРУСЬ),721092.93,B
"ПАО ""АВТОДИЗЕЛЬ"" (ЯМЗ)",708755.77,B
МогилевМаш ООО (ТАДЖИКИСТАН),699571.40,B
ЭЛЕКТРОН ООО,696189.60,B
БобруйскФарма ТОО (КИРГИЗИЯ),696034.60,B
КамаМед ТОО (КАЗАХСТАН),694599.06,B
СПЛАВ ООО,691334.38,B
УльяновскФинанс АО (МОЛДОВА),689410.63,B
ФОРТ ООО,683240.87,B
МордовияЭкспорт АО,682368.63,B
"АО ""АВИАКОР-АВИАЦИОННЫЙ ЗАВОД""",670051.84,B
ООО «Группа Компаний «ЛИПЕЦКПРОФИЛЬ»,649058.01,B
ИмперияИнновации АО (УКРАИНА),646459.11,B
ОсиповичиИнвест ООО (БЕЛАРУСЬ),636423.21,B
ДонФинанс ТОО (ТУРКМЕНИСТАН),634786.23,B
СТРОЙКОМПЛЕКТ ООО,633860.90,B
ЖитковичиТех ООО (БЕЛАРУСЬ),624799.90,B
ЛяховичиСтрой АО (БЕЛАРУСЬ),620068.61,B
ВИКТОРИЯ-СТРОЙ ООО,609766.65,B
КостюковичиМед ООО (УЗБЕКИСТАН),604807.60,B
ЮпитерЛогистика АО (ГРУЗИЯ),595679.76,B
ЧечерскФарма АО (БЕЛАРУСЬ),594698.04,B
СлуцкСтрой ТОО (БЕЛАРУСЬ),586885.80,B
ЧериковКом АО (РОССИЯ),585268.44,B
БИОС ООО,582281.23,B
"ОАО ""АРХАНГЕЛЬСКОЕ АВИАПРЕДПРИЯТИЕ""",577631.28,B
НесвижФарма АО (БЕЛАРУСЬ),573691.56,B
ВДОХНОВЕНИЕ ООО,570070.05,B
НаровляМаш ТОО (ТУРКМЕНИСТАН),567876.96,B
СтарыеДорогиЭкспорт ТОО (БЕЛАРУСЬ),561455.07,B
ЧукоткаИнновации АО,557197.11,B
БрагинИндустрия ООО (БЕЛАРУСЬ),557071.20,B
УшачиФарма АО (БЕЛАРУСЬ),552936.64,B
КобринИндустрия АО (МОЛДОВА),544648.80,B
ЭКСПРЕСС ООО,536845.30,B
ШкловТрейд ООО (БЕЛАРУСЬ),535505.44,B
ГлубокоеИндустрия ООО (БЕЛАРУСЬ),531440.91,B
КлимовичиФарма ООО (БЕЛАРУСЬ),528373.80,B
МарийЭлЛогистика ООО (БЕЛОРУСЬ),524691.52,B
МагаданЭкспорт АО,521270.96,B
"ООО ""ГП ТРАНС 48""",517176.97,B
УранИндустрия ООО (АЗЕРБАЙДЖАН),515385.12,B
"ПИ-МАШ ООО, Краснодар",515227.87,B
КлимовичиИнновации АО (ГРУЗИЯ),512868.20,B
БурятияФинанс ТОО (АРМЕНИЯ),505971.59,B
ЖитковичиКом ТОО (ТУРКМЕНИСТАН),502263.67,B
КраснопольеМед ООО (БЕЛАРУСЬ),502258.08,B
"АО ""Михайловский ГОК им. А.В. Варичева""",500962.47,B
ТРАНЗИТ ООО,500000.00,B
ООО «М-Траст»,499305.76,C
Елецгидроагрегат АО,498764.95,C
ДОМ-КОМФОРТ ООО,486769.19,C
ХАЛЦЕДОН ООО,485909.92,C
ТатарстанФарма ООО (УЗБЕКИСТАН),482295.60,C
НовополоцкМед ТОО (БЕЛАРУСЬ),481100.54,C
МогилевИндустрия АО (МОЛДОВА),479877.37,C
ГанцевичиФарма,479838.72,C
РЕГИОН ООО,479120.80,C
"ОАО ""АЛНАС""",472731.56,C
МиорыТрейд АО (БЕЛАРУСЬ),472046.76,C
ХаосКонсалт АО (УКРАИНА),471709.80,C
КсиЭкспорт ТОО,467454.60,C
ЯкорьЛогистика ООО,467287.83,C
СтолбцыИндустрия ООО (БЕЛАРУСЬ),466812.14,C
КлимовичФинанс ТОО (АРМЕНИЯ),462810.19,C
МюИндустрия ООО,462037.20,C
ЛюбаньИнновации ТОО (КАЗАХСТАН),458316.00,C
ГаммаИнвест ТОО,455198.40,C
"ООО Предприятие Материально- Технического Снабжения ""ОМ"",    г. Курск, ИНН 4631008739",451789.50,C
КлимовичЛогистика АО (БЕЛАРУСЬ),450526.12,C
НесвижПроект ООО (УЗБЕКИСТАН),445815.09,C
ИПСИЛОНТОРГ ООО,443296.00,C
АЛЬФА-20 ООО,443259.60,C
"ООО ""Объединенная технологическая корпорация""",442671.60,C
ГлубокоеИнновации ООО (БЕЛАРУСЬ),440112.46,C
БарнаулТрейд АО (ГРУЗИЯ),438188.38,C
ЦимлянскКонсалт ООО,433231.92,C
ГанцевичиИнновации АО (ГРУЗИЯ),433147.85,C
АСГАРД ООО,430167.60,C
КомаринТрейд АО (БЕЛАРУСЬ),427903.32,C
ХойникиТрейд АО (БЕЛАРУСЬ),427302.12,C
ПсковФинанс ООО (БЕЛОРУСЬ),426513.60,C
ЧериковЭнерго ТОО (БЕЛАРУСЬ),423345.67,C
ЭВРИКА ООО,421745.81,C
ПинскСервис ООО (БЕЛАРУСЬ),420863.34,C
РОГА И КОПЫТА ООО,419795.58,C
ЦЕНТР-СТРОЙ ООО,416951.32,C
ОктябрьскийЭкспорт ТОО (БЕЛАРУСЬ),415516.09,C
ЧитаСервис АО (УКРАИНА),409524.55,C
БраславИнновации ООО (БЕЛАРУСЬ),395416.87,C
АСТРА ООО,392586.75,C
"ОАО "" Авиакомпания"" Омскавиа""",390212.05,C
МиорыИнновации ООО (БЕЛАРУСЬ),388141.20,C
ОсиповичиЭнерго ООО (ТАДЖИКИСТАН),386106.30,C
КурскМаш ООО (ТАДЖИКИСТАН),385887.49,C
ДраконЭнерго АО,384857.28,C
ЛогойскЭкспорт АО (БЕЛАРУСЬ),384087.60,C
ЕльскКом АО (БЕЛАРУСЬ),381309.43,C
КалугаМед ООО,381016.18,C
ЛепельТранс ТОО (КАЗАХСТАН),377882.86,C
АГРОСЕРВИС ООО,377537.50,C
БобруйскСервис АО (БЕЛАРУСЬ),373550.61,C
ЭРА-СТРОЙ ООО,368383.47,C
ЮГ ООО,366452.96,C
ЧаусыСервис ТОО (АРМЕНИЯ),360322.79,C
Алтайтелеком,354558.28,C
ДрогичинФарма ООО (БЕЛАРУСЬ),352027.60,C
АПОЛЛОН ООО,351017.60,C
ЭПСИЛОНКОМП ООО,348623.12,C
ЕльскТрейд АО (БЕЛАРУСЬ),348447.00,C
Арчединский комбинат хлебопродуктов,347336.91,C
КсиКонсалт ТОО (АРМЕНИЯ),346893.57,C
ЗетаЭнерго АО (МОЛДОВА),345751.20,C
ГлубокоеКонсалт ООО (АЗЕРБАЙДЖАН),344375.64,C
ВитебскЭнерго ООО (ТАДЖИКИСТАН),344368.44,C
ИвацевичиЭнерго ТОО (ТУРКМЕНИСТАН),341703.28,C
АТЛЕТ ООО,341412.40,C
МстиславльЭнерго ТОО (БЕЛАРУСЬ),340880.40,C
Астерон,340509.39,C
"ОАО ""АВИАСТАР""",339977.88,C
"АО КБ ""АССОЦИАЦИЯ""",338183.57,C
КопыльИндустрия ООО (БЕЛАРУСЬ),330613.20,C
УльяновскТрейд ОАО,327406.60,C
РостовИнновации АО (ГРУЗИЯ),325794.14,C
ЛунаМед АО,323182.49,C
ПИКОНСТРУКТ ООО,321428.30,C
ХантыМансийскийЭнерго АО (РОССИЯ),320948.02,C
МикашевичиИнвест АО (БЕЛАРУСЬ),314988.77,C
БраславЭкспорт ТОО (БЕЛАРУСЬ),310016.24,C
ХотимскФарма ООО (БЕЛАРУСЬ),302840.64,C
ТамбовИндустрия ООО,301879.25,C
БалхашСервис ТОО (КАЗАХСТАН),300076.92,C
ГлубокоеПроект АО (БЕЛАРУСЬ),299376.00,C
РоссоныИнновации ТОО (КАЗАХСТАН),299131.81,C
ВИВА ООО,295880.40,C
"АО ""ВАО АГРОХИМЭКСПОРТ""",293061.59,C
ВерхнедвинскЭнерго ООО (БЕЛАРУСЬ),292508.96,C
НовополоцкЭкспорт ТОО (БЕЛАРУСЬ),292447.38,C
СлавгородТрейд ТОО (КАЗАХСТАН),290979.36,C
АмурСервис ООО,287622.14,C
КарачаевоЧеркесияТранс ООО (АЗЕРБАЙДЖАН),285616.42,C
ПружаныЭкспорт АО (БЕЛАРУСЬ),285517.54,C
КокшетауКонсалт ТОО (КАЗАХСТАН),284961.96,C
ДубровноКом АО (БЕЛАРУСЬ),282801.66,C
МарсИнновации ООО,281350.39,C
ЕнисейКом АО,281048.71,C
КалинковичиКом ООО (ТАДЖИКИСТАН),280520.20,C
КобринМед ООО (БЕЛАРУСЬ),279901.90,C
"АО ""АПАТИТ""",279702.96,C
РоСтроительство ТОО (КИРГИЗИЯ),272593.22,C
ЧаусыИнвест ООО (БЕЛАРУСЬ),271920.89,C
СИГМА-ЭЛЕКТРО ООО,269808.80,C
КиевФинанс ООО (БЕЛОРУСЬ),269240.26,C
ВерхнедвинскИндустрия ООО (БЕЛАРУСЬ),268560.94,C
БайкалПроект АО (МОЛДОВА),267282.18,C
"ООО ""Эгида""",266827.20,C
ДонЭнерго ОАО,264500.33,C
СветлогорскКом АО (РОССИЯ),262967.30,C
ГОЛЬФСТРИМ ООО,262386.90,C
БраславТрейд АО (БЕЛАРУСЬ),261101.40,C
ЯрославльЭкспорт АО (УКРАИНА),260061.72,C
"ЗАО ""АВИАТЕХНОЛОГИЯ""",259872.50,C
СенненскийСтрой ТОО (БЕЛАРУСЬ),258982.47,C
"КБ ""АРСЕНАЛ"" ООО",257277.71,C
"ОАО ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""",255277.92,C
ТатарстанКонсалт ТОО,254351.81,C
ЗабайкальеТранс ООО (АЗЕРБАЙДЖАН),254041.80,C
ГлускМед ТОО (БЕЛАРУСЬ),252861.54,C
КалинковичиСервис ООО (БЕЛАРУСЬ),252603.31,C
ПружаныТрейд ООО (БЕЛАРУСЬ),248810.04,C
АльфаСтрой ООО,246915.04,C
ХойникиЭкспорт ТОО (БЕЛАРУСЬ),246114.02,C
КостромаКонсалт АО (ГРУЗИЯ),245095.44,C
ОсиповичиИнновации ООО (БЕЛАРУСЬ),245075.91,C
"АО ""АВТОШИНА""",243369.36,C
НовополоцкТех ООО (БЕЛАРУСЬ),242712.00,C
ЭЛЕКТРО ООО,242345.52,C
МордовияКонсалт ТОО (КАЗАХСТАН),240731.97,C
ОрелПроект АО (УКРАИНА),240371.88,C
ЦимлянскСтроительство ТОО (ТУРКМЕНИСТАН),240028.84,C
ГалактикаФинанс ООО (ТАДЖИКИСТАН),239950.87,C
ЖезказганФинанс АО (МОЛДОВА),239120.47,C
ПечораТранс ОАО,238154.60,C
АГАТ-СТРОЙ ООО,233837.14,C
ЖодиноИнвест АО (БЕЛАРУСЬ),232789.79,C
ДЕЛЬТА-ТОРГ ООО,232470.05,C
ЭКОСЕРВИС ООО,232289.11,C
КарелияЭнерго ТОО (ТУРКМЕНИСТАН),231120.00,C
ХотимскКом ТОО (БЕЛАРУСЬ),230822.05,C
ТалдыкорганИнновации АО (ГРУЗИЯ),229886.80,C
ШантарИнновации ООО (БЕЛОРУСЬ),229692.48,C
МиорыИндустрия ООО (БЕЛАРУСЬ),228321.42,C
ОсиповичиМед ТОО (БЕЛАРУСЬ),228267.73,C
"ООО ""Гарант ДВ""",223606.17,C
МагаданКом ТОО (ТУРКМЕНИСТАН),223326.14,C
БарановичиИндустрия ТОО (БЕЛАРУСЬ),222762.60,C
ИвацевичиКом ТОО (БЕЛАРУСЬ),221760.00,C
КобринФарма ООО (БЕЛАРУСЬ),221360.44,C
НовополоцкТрейд ООО (АЗЕРБАЙДЖАН),220396.81,C
"ООО ""МЕГАТОН""",219838.20,C
КемеровоМаш АО (УКРАИНА),218592.00,C
ТверьПроект ТОО (КИРГИЗИЯ),218484.00,C
ТываСервис ТОО (АРМЕНИЯ),217528.14,C
ОмегаТех АО (РОССИЯ),217226.20,C
СОКОЛ ООО,217095.30,C
КалинковичиТех АО (РОССИЯ),215863.49,C
МиорыФарма АО (БЕЛАРУСЬ),214898.40,C
КостюковичиСтрой ТОО (БЕЛАРУСЬ),214701.62,C
ЯРКИЙ МИР ООО,214532.90,C
ЩукаПром ООО,213621.84,C
ГлубокоеТех ООО (БЕЛАРУСЬ),212629.18,C
ЧашникиСервис ООО (БЕЛАРУСЬ),212253.62,C
КопыльФарма АО (БЕЛАРУСЬ),212181.72,C
СенненскийФарма ТОО (КИРГИЗИЯ),211293.77,C
"ООО ""РОБОКОМ""",210555.00,C
ЖитковичиТех ООО (ТАДЖИКИСТАН),209459.95,C
КопыльСтрой ТОО (БЕЛАРУСЬ),207446.40,C
ЛунинецИндустрия ТОО (АРМЕНИЯ),206283.38,C
РИФ ООО,205202.76,C
РО-ЭЛЕКТРО ООО,203770.00,C
ОсиповичиПроект ТОО (КИРГИЗИЯ),202845.87,C
БорисовЭкспорт АО (БЕЛАРУСЬ),202811.76,C
КобринТех ТОО (ТУРКМЕНИСТАН),202317.97,C
ЛиозноКом АО (БЕЛАРУСЬ),200985.34,C
ЕльскТех ООО (БЕЛАРУСЬ),200552.27,C
"ООО ""Грантс Ойл""",200226.01,C
МикашевичиЛогистика АО (МОЛДОВА),198952.80,C
СтолинПроект ТОО (КИРГИЗИЯ),198762.70,C
"ООО ""Паллант инжиниринг""",197445.60,C
ТалдыкорганФарма ООО (КАЗАХСТАН),197242.24,C
БерезаСервис АО (БЕЛАРУСЬ),196513.44,C
ООО БИЗНЕС-ЭКСПЕРТ,196228.28,C
"ОАО ""АЛЬБУМИН""",195935.04,C
СевернаяОсетияМаш АО (РОССИЯ),195781.64,C
ПружаныИнновации ООО (АЗЕРБАЙДЖАН),195440.15,C
АККОРД-СТРОЙ ООО,192930.00,C
ЭпсилонМаш ОАО,192800.45,C
ОМЕГАПРОМ ООО,192605.15,C
МстиславльФарма ООО (БЕЛАРУСЬ),191762.04,C
ВеткаИндустрия ООО (БЕЛОРУСЬ),191149.20,C
СТРОЙЛЮКС ООО,191057.82,C
МикашевичиЭкспорт ТОО (КИРГИЗИЯ),190746.00,C
ЗЕТАИНВЕСТ ООО,190132.20,C
НюТрейд ООО (УЗБЕКИСТАН),190033.92,C
КомаринФарма АО (БЕЛАРУСЬ),188518.92,C
ИвацевичиСервис ООО (БЕЛАРУСЬ),187358.54,C
БрагинКом ТОО (ТУРКМЕНИСТАН),187327.56,C
ХотимскКом ООО (ТАДЖИКИСТАН),186152.72,C
СВОБОДА ООО,185546.40,C
СтавропольИндустрия ТОО (АРМЕНИЯ),184939.20,C
ОсиповичиКом АО (БЕЛАРУСЬ),184062.35,C
РУСЬ ООО,183905.27,C
ГЕОЛИТ ООО,183766.00,C
МинскСтрой ООО (БЕЛАРУСЬ),183312.00,C
БраславИндустрия ООО (БЕЛОРУСЬ),183167.62,C
ЕнисейСервис АО (МОЛДОВА),182707.30,C
КопыльТрейд АО (БЕЛАРУСЬ),182626.30,C
АЛЬБАТРОС ООО,182444.00,C
КабардиноБалкарияЭкспорт ТОО (КИРГИЗИЯ),182013.12,C
КировскКонсалт ООО (АЗЕРБАЙДЖАН),181867.87,C
ГанцевичиЭкспорт ООО (УЗБЕКИСТАН),181582.63,C
ХиМед ООО (БЕЛОРУСЬ),181451.04,C
ВитебскТех ООО (БЕЛАРУСЬ),181079.12,C
БорисовФарма ТОО (КИРГИЗИЯ),180324.28,C
ДрогичинКом ТОО (БЕЛАРУСЬ),179928.00,C
ОмикронМед ООО,179058.24,C
ИвановоТранс ОАО,178327.37,C
Управление специальной связи по Липецкой области,178264.78,C
ООО УГЛИЧ-ПЛАСТ,177255.88,C
ВАЛЬС ООО,174846.00,C
"ООО ""ПЕСТ""",173080.67,C
СТРОЙПРОЕКТ ООО,172286.40,C
КраснопольеСервис ООО (БЕЛАРУСЬ),171443.96,C
Андромеда ООО,170044.04,C
ХотимскСервис АО (БЕЛАРУСЬ),169672.48,C
КаппаКом ООО (БЕЛОРУСЬ),169140.00,C
ТРЕЙД ООО,168871.95,C
СтарыеДорогиТех ООО (БЕЛАРУСЬ),168266.38,C
УралЭкспорт ООО,168081.91,C
ЕнисейСтрой ООО,167694.67,C
ЧаусыИнвест АО (БЕЛАРУСЬ),166608.26,C
"ООО ""Росснабтехнологии""",166543.18,C
ОктябрьскийТрейд ООО (АЗЕРБАЙДЖАН),165212.43,C
ЭтнаПроект ООО (АЗЕРБАЙДЖАН),164622.51,C
ЕКС ООО,162866.87,C
ЛепельЭнерго ООО (БЕЛАРУСЬ),162581.09,C
ШкловСервис АО (МОЛДОВА),162123.38,C
ФЬЮЧЕРС ООО,160273.00,C
ТЕХНО-СЕРВИС ООО,159716.00,C
КлимовичиИндустрия АО (БЕЛАРУСЬ),159637.26,C
ХантыМансийскИндустрия ООО,159431.79,C
СлуцкИнновации ТОО (КАЗАХСТАН),158889.67,C
ЧечерскИндустрия ООО (БЕЛАРУСЬ),158410.79,C
БрагинЭкспорт ТОО (БЕЛАРУСЬ),158366.59,C
ШымкентТрейд АО (ГРУЗИЯ),157836.35,C
БраславМаш ТОО (ТУРКМЕНИСТАН),155659.66,C
УРАЛХИМСЕРВИС ООО,155645.00,C
КричевКом ТОО (БЕЛАРУСЬ),154108.79,C
ЮжноСахалинскСервис ООО (БЕЛОРУСЬ),154106.67,C
"АКБ ""АЗИМУТ"" (ПАО)",153552.03,C
"АО ""АВИАБОР""",153312.71,C
"ОАО""АЛК""",153000.00,C
ФАЭТОН ООО,151907.34,C
СтолбцыТрейд АО (БЕЛАРУСЬ),151766.04,C
ДубровноТрейд ООО (БЕЛАРУСЬ),151683.84,C
ОктябрьскийКом АО (БЕЛАРУСЬ),151505.42,C
ВеткаЛогистика АО (БЕЛАРУСЬ),151192.44,C
ОктябрьскийИнновации ООО (БЕЛАРУСЬ),148824.66,C
"АО ""АВТОТОР""",148722.78,C
ХарьковСервис ООО,148720.32,C
ДрогичинТранс ООО (АЗЕРБАЙДЖАН),148135.68,C
МогилевМед ТОО (БЕЛАРУСЬ),146971.68,C
"АО ""АРМАГУС""",146112.16,C
ЛямбдаЭкспорт ТОО (КАЗАХСТАН),142662.08,C
ЮжноСахалинскЛогистика ООО,140176.29,C
ИпсилонСервис ООО,139656.96,C
МстиславльТранс ООО (АЗЕРБАЙДЖАН),139227.96,C
АтырауИндустрия ООО (БЕЛОРУСЬ),138661.62,C
ДЕЛЬТА-МАШ ООО,138568.85,C
ДонецкФарма ТОО (КИРГИЗИЯ),137657.04,C
ЛенаИндустрия АО (РОССИЯ),136895.87,C
ВегаКонсалт АО (ГРУЗИЯ),136878.00,C
КировскЭнерго ТОО (ТУРКМЕНИСТАН),136641.00,C
ДельтаМед ООО (ТАДЖИКИСТАН),136087.20,C
СатурнСтроительство ООО,135622.76,C
ДубровноЛогистика ООО (БЕЛАРУСЬ),135594.00,C
НесвижФарма АО (УКРАИНА),135496.43,C
ЖитковичиМед ТОО (БЕЛАРУСЬ),135131.94,C
ТайгаМаш ООО (ТАДЖИКИСТАН),134960.25,C
ЧашникиМед ООО (БЕЛАРУСЬ),134913.60,C
ЧашникиФинанс ТОО (АРМЕНИЯ),134623.20,C
БорисовТрейд АО (ГРУЗИЯ),134515.00,C
Алтайдизель,133192.80,C
КричевЛогистика ООО (БЕЛАРУСЬ),133156.80,C
АдыгеяСтрой АО,133134.12,C
ЛипецкФарма ТОО (КИРГИЗИЯ),132408.00,C
НаровляФинанс АО (МОЛДОВА),131447.76,C
БрагинФарма АО (БЕЛАРУСЬ),131276.52,C
ТолочинСервис ООО (БЕЛАРУСЬ),130355.21,C
АЗАРТ ООО,130265.18,C
СТЕЛЛА ООО,129918.00,C
ГАММА-ТОРГ ООО,129800.00,C
ЖлобинЭнерго ООО (БЕЛАРУСЬ),129557.08,C
ВАВИЛОН ООО,129253.90,C
ЕльскПроект АО (БЕЛАРУСЬ),129148.80,C
КостюковичиФинанс ООО (БЕЛОРУСЬ),128700.00,C
АтырауКом АО (КАЗАХСТАН),128555.42,C
ХиХимия ООО,128389.20,C
КрасноярскСтроительство ТОО,128105.52,C
ДонецкПроект АО,127477.57,C
ПружаныКом ТОО (БЕЛАРУСЬ),127431.36,C
ТываТрейд АО,127408.98,C
"ПАО ""АСЗ""",127202.40,C
КСИТЕХ ООО,125683.20,C
ТуровИнновации АО (ГРУЗИЯ),123995.11,C
СлуцкЭнерго ООО (БЕЛАРУСЬ),123873.84,C
"ОАО ""НББ""",123244.97,C
ТайгаЛогистика АО,123136.18,C
"ЗАО КБ ""ЛАДА-КРЕДИТ""",122490.86,C
КрасноярскЛогистика ООО (БЕЛОРУСЬ),121691.52,C
