"Отдел","Контрагент","Итого","cnt_first","cnt_second"
Трубка и РВД,КомаринИндустрия ООО (БЕЛАРУСЬ),7920.00,0,1
Отдел труб и штоков,"ГП Ф-КА ФОРМЕННОГО ОБМУНДИРОВАНИЯ ""АВИАЛЕСООХРАНА""",718541.14,6,4
Отдел труб и штоков,НЮ-ЭЛЕКТРО ООО,28837.56,0,1
Трубка и РВД,ВоронежЭнерго АО (РОССИЯ),13822.26,1,0
Трубка и РВД,СамараСтроительство АО,6446.34,0,1
Отдел труб и штоков,ОМИКРОН-ПРОД ООО,16038172.54,6,5
Трубка и РВД,ИвацевичиИнвест АО (БЕЛАРУСЬ),5324.40,1,0
Трубка и РВД,ЭпсилонМаш ОАО,192800.45,2,3
Отдел труб и штоков,КостанайЛогистика ООО (БЕЛОРУСЬ),6381825.88,6,2
Отдел труб и штоков,ИвацевичиИнвест АО (БЕЛАРУСЬ),79604.52,1,1
Трубка и РВД,ЛюбаньКонсалт ООО (АЗЕРБАЙДЖАН),2580.17,0,1
Трубка и РВД,ОршаКонсалт АО (ГРУЗИЯ),21520.79,3,1
Трубка и РВД,КлимовичСервис ООО (БЕЛАРУСЬ),4602.24,1,0
Трубка и РВД,НовополоцкПроект АО (БЕЛАРУСЬ),13979.52,1,0
Отдел труб и штоков,ИвановоТранс ОАО,1178928.14,3,4
Трубка и РВД,СенненскийЛогистика АО (БЕЛАРУСЬ),20636.74,1,2
Отдел труб и штоков,ХойникиТранс ТОО (КАЗАХСТАН),60677.04,1,0
Отдел труб и штоков,"БЕТА-ЭНЕРГО ООО, Санкт-Петербург",20297.79,1,2
Отдел труб и штоков,ШантарСтрой АО,301506.06,3,2
Трубка и РВД,БраславТрейд АО (БЕЛАРУСЬ),261101.40,3,2
Отдел труб и штоков,"ООО ""МЕГАПРОМ-УРАЛ""",16376596.79,6,5
Отдел труб и штоков,"КАППА-СТРОЙ ООО, Ростов-на-Дону",9302.75,0,1
Трубка и РВД,ЗаряТрейд ТОО (ТУРКМЕНИСТАН),837129.65,5,4
Трубка и РВД,ЧайкаЭкспорт ТОО (КАЗАХСТАН),32659.20,1,0
Отдел труб и штоков,КрымЛогистика ОАО,68310.98,1,2
Отдел труб и штоков,ИМПУЛЬС-ЭНЕРГО ООО,771258.31,3,1
Трубка и РВД,СтолинПроект ТОО (КИРГИЗИЯ),198762.70,2,2
Трубка и РВД,ЛепельЛогистика АО (БЕЛАРУСЬ),22572.00,1,0
Отдел труб и штоков,ГоркиМаш ООО (ТАДЖИКИСТАН),15538.04,0,2
Трубка и РВД,ХабаровскИндустрия АО,105744.30,4,0
Трубка и РВД,КрымЛогистика ОАО,2878.20,1,0
Отдел труб и штоков,"ЭПСИЛОН-КОМ ООО, Нижний Новгород",1196018.82,5,2
Отдел труб и штоков,ИПСИЛОН-КОМ ООО,10314.43,2,0
Отдел труб и штоков,СтолбцыТрейд АО (БЕЛАРУСЬ),72221.48,1,0
Трубка и РВД,ХотимскИнвест АО (БЕЛАРУСЬ),30401.28,1,0
Отдел труб и штоков,ЕВРОПА-ТОРГ ООО,89749.26,3,0
Трубка и РВД,ДубровноКом АО (БЕЛАРУСЬ),282801.66,0,1
Трубка и РВД,ФиФарма ОАО,1205.53,1,0
Отдел труб и штоков,ПРОГРЕСС-ИНВЕСТ ООО,47702.83,3,0
Отдел труб и штоков,МогилевЭкспорт ООО (УЗБЕКИСТАН),521998.04,2,3
Отдел труб и штоков,КСИ-ПРОМ ООО,36124.96,1,0
Отдел труб и штоков,ЭТА-ПЛЮС ООО,689366.61,6,4
Трубка и РВД,РудныйПроект ТОО (КИРГИЗИЯ),59864.69,1,1
Трубка и РВД,КировскЭнерго ТОО (БЕЛАРУСЬ),46433.52,1,0
Трубка и РВД,СемейЭкспорт АО (КАЗАХСТАН),59430.00,1,2
Трубка и РВД,ОктябрьскийТрейд ООО (АЗЕРБАЙДЖАН),165212.43,4,5
Трубка и РВД,ТолочинМед ООО (БЕЛАРУСЬ),28939.96,0,2
Отдел труб и штоков,ТПАС-Петрозаводск ООО,2395933.26,6,5
Отдел труб и штоков,"КАППА-КОМ ООО, Ростов-на-Дону",813802.08,4,0
Отдел труб и штоков,"НЮ-ИНВЕСТ ООО, Воронеж",170313.56,1,1
Отдел труб и штоков,АЛЬФА-15 ООО,26227.90,2,1
Трубка и РВД,ПлутонЭкспорт АО,57153.60,1,0
Трубка и РВД,ШтормФарма АО (РОССИЯ),1345543.64,0,3
Трубка и РВД,ГаммаИнвест ТОО,455198.40,2,0
Отдел труб и штоков,ПЛАНЕТА-ИНВЕСТ ООО,40976.39,0,1
Трубка и РВД,ОрбитаТех ООО,4841.28,0,1
Трубка и РВД,"ООО ""Внешпромторг""",93735.36,1,0
Отдел труб и штоков,ЛИДЕР-ТЕХ ООО,12887.63,1,0
Трубка и РВД,ВитебскКом АО (БЕЛАРУСЬ),4878.00,1,0
Трубка и РВД,ГлубокоеТрейд АО (БЕЛАРУСЬ),105968.12,3,0
Отдел труб и штоков,ЭлистаИнвест АО,432100.87,4,2
Трубка и РВД,"АО ""АНХК""",15128.27,1,2
Отдел труб и штоков,"ДЕЛЬТА-КОМ ООО, Новосибирск",88315.69,2,1
Трубка и РВД,ДонецкФарма АО (УКРАИНА),4284.00,1,0
Отдел труб и штоков,"ООО ""АКСАИТОВНЕФТЬ""",195541.24,4,4
Трубка и РВД,ТуровТрейд ООО (АЗЕРБАЙДЖАН),44127.79,1,0
Трубка и РВД,МикашевичиМед ООО (БЕЛАРУСЬ),4860.00,0,1
Отдел труб и штоков,Архангельскнефтепродукт,216243.06,4,3
Отдел труб и штоков,ЗЕТА-ИНВЕСТ ООО,1556874.12,6,5
Трубка и РВД,"ООО ""Гарант ДВ""",223606.17,6,5
Трубка и РВД,ЧечняПроект ТОО (КИРГИЗИЯ),3063.60,1,0
Отдел труб и штоков,ХотимскЭнерго ТОО (ТУРКМЕНИСТАН),72918.33,4,2
Трубка и РВД,ГлубокоеЭкспорт ТОО (БЕЛАРУСЬ),36868.20,1,0
Отдел труб и штоков,МогилевТрейд ООО (АЗЕРБАЙДЖАН),43238.39,0,1
Отдел труб и штоков,"ПСИ-СТРОЙ ООО, Ярославль",11241.31,1,0
Отдел труб и штоков,"ОМИКРОН-КОМ ООО, Волгоград",130351.61,0,2
Отдел труб и штоков,"КСИ-МАШ ООО, Пермь",110944.80,2,0
Трубка и РВД,ДубровноКом ТОО (БЕЛАРУСЬ),3542.40,1,0
Трубка и РВД,ТверьКом ООО,21211.20,2,0
Трубка и РВД,"АО ""АВТОВАЗ""",4125.60,1,0
Отдел труб и штоков,ПСИ-ЭНЕРГО ООО,36052.38,1,1
Трубка и РВД,Астраханский ГПЗ,25272.84,2,0
Трубка и РВД,НовосибирскФарма АО (РОССИЯ),27216.00,0,1
Отдел труб и штоков,ФИ-ТОРГ ООО,4269898.13,6,5
Отдел труб и штоков,ЧериковМаш ТОО (ТУРКМЕНИСТАН),2500.00,0,1
Отдел труб и штоков,ИПСИЛОН-ПЛЮС ООО,1528435.46,6,5
Отдел труб и штоков,ПСИ-ЭЛЕКТРО ООО,7990.79,0,1
Трубка и РВД,ВерхнедвинскКом ТОО (ТУРКМЕНИСТАН),1310.88,1,0
Отдел труб и штоков,УНИКОН ООО,165248.48,2,2
Отдел труб и штоков,ТЕТА-ЭНЕРГО ООО,23290.43,1,0
Трубка и РВД,ЛуганскСервис АО (МОЛДОВА),57718.80,1,2
Трубка и РВД,БыховТрейд ООО (БЕЛАРУСЬ),5779.44,1,0
Отдел труб и штоков,ЛиозноИнновации ТОО (КАЗАХСТАН),7833.44,1,1
Трубка и РВД,ЧашникиМед ООО (БЕЛАРУСЬ),134913.60,1,0
Отдел труб и штоков,ЖемчугМаш ООО (АЗЕРБАЙДЖАН),18653.77,1,0
Трубка и РВД,УстьКаменогорскЭнерго ТОО (ТУРКМЕНИСТАН),83389.19,1,3
Трубка и РВД,ДнепрЛогистика ООО,2317.08,1,0
Трубка и РВД,ЧериковСтрой АО (БЕЛАРУСЬ),33677.28,1,0
Трубка и РВД,ПсковЛогистика ООО,36247.51,1,0
Отдел труб и штоков,ДнепрКом АО (РОССИЯ),976332.40,1,0
Отдел труб и штоков,КлимовичиМед ТОО (КИРГИЗИЯ),4563.11,1,0
Отдел труб и штоков,РО-ТОРГ ООО,68531.63,0,1
Трубка и РВД,СлуцкИнвест АО (БЕЛАРУСЬ),8131.21,1,2
Трубка и РВД,КобринКом ТОО (БЕЛАРУСЬ),44442.00,1,0
Отдел труб и штоков,КалинковичиИнвест АО (БЕЛАРУСЬ),399209.34,1,1
Трубка и РВД,МикашевичиИнвест АО (БЕЛАРУСЬ),314988.77,6,4
Трубка и РВД,МурманскЭнерго ООО,41662.75,1,0
Трубка и РВД,ЧаусыКом АО (РОССИЯ),37301.07,0,1
Отдел труб и штоков,ГАММА-ЭНЕРГО ООО,1753632.20,6,5
Трубка и РВД,КостюковичиЭнерго ООО (БЕЛАРУСЬ),29822.52,1,0
Трубка и РВД,МиорыТрейд АО (БЕЛАРУСЬ),472046.76,6,1
Отдел труб и штоков,КОМПЛЕКС-МАШ ООО,659746.44,0,3
Трубка и РВД,ЮграКом ОАО,35822.74,1,0
Отдел труб и штоков,СИГМА-СТРОЙ ООО,2844651.20,6,5
Трубка и РВД,АлтайФинанс АО (МОЛДОВА),39903.71,3,1
Отдел труб и штоков,ПСИ-ИНЖ ООО,2264948.48,5,4
Трубка и РВД,ЧериковИнвест ООО (БЕЛАРУСЬ),884.95,1,0
Трубка и РВД,ДнепрМед ТОО (КИРГИЗИЯ),6639.83,1,0
Трубка и РВД,КопыльТрейд АО (БЕЛАРУСЬ),182626.30,1,1
Трубка и РВД,МогилевЭкспорт ООО (УЗБЕКИСТАН),29426.40,2,0
Отдел труб и штоков,ОдессаПроект АО (УКРАИНА),7160076.88,4,4
Отдел труб и штоков,КостюковичиПроект АО (УКРАИНА),2108.00,1,0
Трубка и РВД,МиорыФарма АО (БЕЛАРУСЬ),214898.40,2,0
Отдел труб и штоков,"КСИ-ТОРГ ООО, Пермь",2928188.44,4,1
Трубка и РВД,СтолбцыТрейд АО (БЕЛАРУСЬ),151766.04,2,1
Отдел труб и штоков,АЛЬФА-16 ООО,40363.13,1,1
Отдел труб и штоков,ЭПСИЛОН-СТРОЙ ООО,8310083.77,6,4
Трубка и РВД,СлавгородФарма ООО (УЗБЕКИСТАН),2545561.80,4,2
Отдел труб и штоков,А-Реал Консалтинг,1027958.41,4,4
Трубка и РВД,ИвановоМаш АО (РОССИЯ),48730.32,2,1
Трубка и РВД,СатурнСтроительство ООО,135622.76,0,1
Трубка и РВД,БорисовМед ООО (БЕЛАРУСЬ),83652.19,1,1
Трубка и РВД,НаровляЭкспорт ТОО (БЕЛАРУСЬ),61188.76,2,1
Трубка и РВД,ЖлобинЭкспорт ООО (УЗБЕКИСТАН),2399201.18,5,3
Трубка и РВД,ШкловЭнерго ТОО (БЕЛАРУСЬ),3053.76,0,1
Трубка и РВД,БерезаФарма ООО (УЗБЕКИСТАН),6022.24,1,0
Отдел труб и штоков,ОдессаТех ООО,65121.32,2,1
Трубка и РВД,БерезаЛогистика ООО (БЕЛАРУСЬ),17232.18,1,1
Отдел труб и штоков,"ООО ""ИННОВЕЛД""",11852.46,0,1
Трубка и РВД,ХотимскЛогистика ТОО (АРМЕНИЯ),11376.00,0,2
Трубка и РВД,"ООО ""РОБОКОМ""",210555.00,2,0
Трубка и РВД,БобруйскСервис АО (БЕЛАРУСЬ),373550.61,2,4
Трубка и РВД,ЛиозноМед ТОО (БЕЛАРУСЬ),17595.00,0,1
Трубка и РВД,"АО ""АККОНД""",32574.95,1,2
Отдел труб и штоков,ЙОТА-ИНВЕСТ ООО,31227.50,1,0
Трубка и РВД,ИвацевичиЭнерго ТОО (ТУРКМЕНИСТАН),341703.28,1,2
Отдел труб и штоков,КалинковичиТех АО (РОССИЯ),1941.19,1,0
Трубка и РВД,ОршаСервис АО (МОЛДОВА),3386.16,1,0
Отдел труб и штоков,НовосибирскФарма АО (РОССИЯ),133400.01,1,1
Трубка и РВД,БыховТранс ООО (АЗЕРБАЙДЖАН),60740.22,3,0
Трубка и РВД,МогилевСервис АО (БЕЛАРУСЬ),52940.87,1,2
Трубка и РВД,"КБ ""АРСЕНАЛ"" ООО",257277.71,4,4
Трубка и РВД,"ООО ""СоюзРубин-Втормет""",79651.96,1,0
Трубка и РВД,ЭтнаПроект ООО (АЗЕРБАЙДЖАН),164622.51,2,1
Трубка и РВД,"ООО ""ПЕСТ""",173080.67,3,1
Отдел труб и штоков,ДонФинанс ТОО (ТУРКМЕНИСТАН),1162663.75,5,1
Отдел труб и штоков,СеверЭнерго АО (ГРУЗИЯ),255760.09,1,1
Трубка и РВД,ХотимскЛогистика ООО (БЕЛАРУСЬ),61381.50,1,1
Отдел труб и штоков,СенненскийТранс ООО (АЗЕРБАЙДЖАН),36078.24,1,0
Отдел труб и штоков,МиорыПроект ООО (УЗБЕКИСТАН),178162.72,1,1
Трубка и РВД,ГалактикаСервис ТОО,10882.95,2,0
Трубка и РВД,"АКБ ""АДАМ ИНТЕРНЭШНЛ"" АО",96527.40,1,0
Трубка и РВД,"ОАО ""АВТОКРАН""",4695.00,1,0
Трубка и РВД,"ЗАО КБ ""ЛАДА-КРЕДИТ""",122490.86,1,2
Трубка и РВД,ВегаИнвест ООО,42670.80,2,1
Трубка и РВД,ИвацевичиСервис АО (МОЛДОВА),4055.04,0,1
Трубка и РВД,ЕнисейКом АО,281048.71,1,4
Отдел труб и штоков,КлимовичиМед ТОО (БЕЛАРУСЬ),26218.86,0,1
Отдел труб и штоков,СИГМА-МАШ ООО,1134361.68,3,2
Отдел труб и штоков,ФИ-ИНЖ ООО,1312409.71,6,4
Трубка и РВД,ЛунинецМаш АО (РОССИЯ),1944.87,0,1
Трубка и РВД,ЭлистаИнвест АО,59171.76,2,3
Отдел труб и штоков,КамчаткаКом ООО,385117.67,2,5
Отдел труб и штоков,ЕльскКом АО (БЕЛАРУСЬ),141014.56,2,1
Отдел труб и штоков,НЮ-ИНВЕСТ ООО,2516941.60,6,5
Трубка и РВД,"ОАО ""АММОФОС""",48248.19,2,0
Трубка и РВД,НесвижТранс ТОО (КАЗАХСТАН),70118.52,2,0
Трубка и РВД,ЗапорожьеИнновации ООО (АЗЕРБАЙДЖАН),104234.88,2,0
Трубка и РВД,ТетаСервис ТОО (ТУРКМЕНИСТАН),2949493.78,2,1
Трубка и РВД,ЛьвовЭкспорт ООО (УЗБЕКИСТАН),45734.40,3,1
Трубка и РВД,КобринТрейд ООО (БЕЛАРУСЬ),54255.17,3,2
Трубка и РВД,КомаринИнновации ТОО (КАЗАХСТАН),46070.07,3,0
Отдел труб и штоков,ИПСИЛОН-МАШ ООО,310651.58,3,0
Трубка и РВД,ТуровКом АО (БЕЛАРУСЬ),36329.76,1,0
Трубка и РВД,СеверСервис ООО,24997.46,2,4
Отдел труб и штоков,"ХИ-КОМ ООО, Иркутск",68356.22,1,1
Отдел труб и штоков,НИКОЛЬ-ТОРГ ООО,46629.25,0,1
Трубка и РВД,УранИндустрия ООО (АЗЕРБАЙДЖАН),515385.12,3,3
Трубка и РВД,ЛепельТранс ТОО (КАЗАХСТАН),377882.86,5,1
Трубка и РВД,ОсиповичиПроект АО (БЕЛАРУСЬ),989564.43,6,4
Трубка и РВД,АстраханьИндустрия ООО (БЕЛОРУСЬ),77835.60,2,0
Отдел труб и штоков,УЛЬТРА-КОМ ООО,13038.32,0,1
Трубка и РВД,СтолинТех ООО (БЕЛАРУСЬ),63302.40,0,1
Трубка и РВД,ЧитаЭнерго ТОО,30661.20,1,1
Трубка и РВД,ЛямбдаФинанс ОАО,994.32,0,1
Трубка и РВД,ГанцевичиЛогистика ООО (БЕЛАРУСЬ),53371.84,4,1
Трубка и РВД,ПинскТех ООО (БЕЛАРУСЬ),36047.66,2,3
Отдел труб и штоков,РО-КОМ ООО,1783070.32,6,5
Отдел труб и штоков,"ДЕЛЬТА-ИНВЕСТ ООО, Новосибирск",125597.65,2,0
Отдел труб и штоков,ГоркиЛогистика ООО (БЕЛОРУСЬ),46542.60,1,0
Отдел труб и штоков,КарачаевоЧеркесияИнновации АО,11358.89,1,1
Отдел труб и штоков,ВеткаКом ООО (ТАДЖИКИСТАН),6739.25,1,0
Отдел труб и штоков,ФУНДАМЕНТ-КОМ ООО,173454.49,1,0
Трубка и РВД,ПечораТранс ОАО,238154.60,1,1
Трубка и РВД,ВерхнедвинскТрейд АО (БЕЛАРУСЬ),27827.42,1,0
Отдел труб и штоков,"ЭТА-ПЛЮС ООО, Челябинск",14011.21,2,0
Трубка и РВД,КлимовичиСервис АО (БЕЛАРУСЬ),1147524.77,0,2
Трубка и РВД,НовосибирскИнновации ООО,1866877.13,6,3
Отдел труб и штоков,"ЭТА-ЭЛЕКТРО ООО, Челябинск",45795.96,1,0
Отдел труб и штоков,НОВОСИБИРСК ООО,84240.00,1,0
Отдел труб и штоков,КАППА-СТРОЙ ООО,843541.25,5,4
Трубка и РВД,ЛиозноКом АО (БЕЛАРУСЬ),200985.34,3,0
Отдел труб и штоков,КАППА-ЭЛЕКТРО ООО,77556.67,1,0
Трубка и РВД,ЧечерскСтрой ТОО (БЕЛАРУСЬ),1076245.39,1,4
Трубка и РВД,МиорыФарма АО (УКРАИНА),3498.12,1,0
Отдел труб и штоков,НЮ-ПРОД ООО,1268402.02,6,3
Трубка и РВД,УралЭкспорт ООО,168081.91,2,2
Отдел труб и штоков,ЛуганскСервис ООО (БЕЛОРУСЬ),12441.68,1,0
Трубка и РВД,ЕльскПроект АО (БЕЛАРУСЬ),129148.80,1,0
Отдел труб и штоков,ОктябрьскийПроект ООО (УЗБЕКИСТАН),363420.47,6,5
Трубка и РВД,ИвановоТранс ОАО,178327.37,4,3
